title,date,author_organization,geography_focus,type,url,abstract,focal_point,email,problem_addressed,solution,ai_methods,value_added,keywords,summary,sdgs,cgiar_center,impact_area,Main Author,Corresponding Authors,CGIAR Main Center
Genetic algorithms for the sequential irrigation scheduling problem,2013,"Anwar, Arif A.; Haq, Z. U.",No Data,Journal Article,https://hdl.handle.net/10568/34545,"A sequential irrigation scheduling problem is the problem of preparing a schedule to sequentially service a set of water users. This problem has an analogy with the classical single machine earliness/tardiness scheduling problem in operations research. In previously published work, integer program and heuristics were used to solve sequential irrigation scheduling problems; A sequential irrigation scheduling problem is the problem of preparing a schedule to sequentially service a set of water users. This problem has an analogy with the classical single machine earliness/tardiness scheduling problem in operations research. In previously published work, integer program and heuristics were used to solve sequential irrigation scheduling problems; however, such scheduling problems belong to a class of combinatorial optimization problems known to be computationally demanding (NP-hard). This is widely reported in operations research. Hence, integer program can only be used to solve relatively small problems usually in a research environment where considerable computational resources and time can be allocated to solve a single schedule. For practical applications, metaheuristics such as genetic algorithms (GA), simulated annealing, or tabu search methods need to be used. These need to be formulated carefully and tested thoroughly. The current research is to explore the potential of GA to solve the sequential irrigation scheduling problems. Four GA models are presented that model four different sequential irrigation scenarios. The GA models are tested extensively for a range of problem sizes, and the solution quality is compared against solutions from integer programs and heuristics. The GA is applied to the practical engineering problem of scheduling water scheduling to 94 water users.; however, such scheduling problems belong to a class of combinatorial optimization problems known to be computationally demanding (NP-hard). This is widely reported in operations research. Hence, integer program can only be used to solve relatively small problems usually in a research environment where considerable computational resources and time can be allocated to solve a single schedule. For practical applications, metaheuristics such as genetic algorithms (GA), simulated annealing, or tabu search methods need to be used. These need to be formulated carefully and tested thoroughly. The current research is to explore the potential of GA to solve the sequential irrigation scheduling problems. Four GA models are presented that model four different sequential irrigation scenarios. The GA models are tested extensively for a range of problem sizes, and the solution quality is compared against solutions from integer programs and heuristics. The GA is applied to the practical engineering problem of scheduling water scheduling to 94 water users.",No Data,No Data,No Data,No Data,No Data,No Data,irrigation scheduling; computer applications; optimization methods; artificial intelligence; genetic processes; algorithms; water users; models; engineering,No Data,No Data,No Data,No Data,"Anwar, Arif A.","Haq, Z. U.",IWMI
Digital Twin for management of water resources in the Limpopo River Basin: a concept,2024,"Garcia Andarcia, Mariangel; Dickens, Chris; Silva, Paulo; Matheswaran, Karthikeyan; Koo, Jawoo",No Data,Other,https://hdl.handle.net/10568/151898,"A Digital Twin is a virtual representation of an object or system that spans its lifecycle, is updated from real-time data, and uses simulation, machine learning and reasoning to help decision making. The use of Digital Twins to aid decision-makers to make realtime decisions in complex systems is a growing field, with large potential for water system management. The CGIAR Initiative on Digital Innovation is developing a prototype Digital Twin for the Limpopo River Basin in close combination with stakeholders, to enable better management and conservation of this imperilled natural resource upon which millions of people depend. The Digital Twin will provide an attractive and easy-to-use interface for users to intuitively understand large volumes of data and modelling results for timely management decisions, and to simulate the impact of these decisions on the complex river basin ecosystem before they are put into action. This includes an artificial intelligence (AI) tool to interrogate and visualize key actionable data and forecasts. It will be developed in a phased approach according to stakeholder priorities.","Garcia Andarcia, M.",m.garciaandarcia@cgiar.org,"Facilitate informed decision-making including 'what if' scenario analysis, to ensure sustainable water management and enhance the basin's resilience against environmental pressures.",The Limpopo River Basin Digital Twin is being designed for users who have an active engagement or interest in the management of water resources in the Basin.,Machine Learning; Nlp,"Allow simple and intuitive access to the abundant data that is available, in a way where the data are synchronized and provide holistic 'real life' perspectives.",water resources; water management; decision-support systems; modelling; digital innovation; artificial intelligence; river basins; ecosystem services,"This publication has been prepared as an output of the CGIAR Initiative on Digital Innovation, which researches pathways to accelerate the transformation towards sustainable and inclusive agrifood systems by generating research-based evidence and innovative digital solutions.",SDG 6,IWMI,No Data,"Garcia Andarcia, Mariangel","Dickens, Chris; Silva, Paulo; Matheswaran, Karthikeyan; Koo, Jawoo",IWMI
Development of the conceptual framework (version 2.0) of the Multidimensional Digital Inclusiveness Index,2023,"Martins, Carolina IglÃ©sias; Opola, Felix; Jacobs-Mata, Inga; Garcia Andarcia, Mariangel; Nortje, Karen; Joshi, Deepa; Singaraju, N.; Muller, A.; Christen, R.; Malhotra, A.",No Data,Report,https://hdl.handle.net/10568/138705,"The Multidimensional Digital Inclusiveness Index (MDII), initiated by CGIAR's Digital Innovation Initiative, has transformed from a theoretical concept to a practical tool for assessing digital inclusivity in various sectors. Its foundational document guides stakeholders in the Agri-Food, Water, and Land sectors, promoting collaboration and continuous improvement. The MDII is guided by eight principles, including accessibility, transparency, methodological rigor, adaptability, intersectionality, simplicity, flexibility, and clarity. It faces challenges such as complexity and diverse user needs, addressed through Artificial Intelligence (AI) integration, offline accessibility, and a participatory feedback approach. Evolving beyond an index, the MDII now offers multiple functions like certification, predictive analysis, and strategic guidance for digital innovation, using AI to meet future inclusiveness needs. The next steps for the MDII include conducting surveys to refine its framework, developing a comprehensive roadmap, and creating a prototype for stakeholder review.",No Data,No Data,No Data,No Data,Machine Learning; Ai; Machine Learning; Llm,No Data,digital innovation; inclusion; frameworks; assessment; sustainable development goals; stakeholders; artificial intelligence,"This technical report focuses on the CGIAR Research Initiative on Digital Innovation, emphasizing the importance of epistemic empowerment and its role in promoting digital inclusion for marginalized groups. It outlines dimensions related to reflexive innovation, ongoing reflection, feedback integration, and transparency in processes, which are essential for adapting digital solutions to the needs of marginalized communities. Co-creation and governance are highlighted as vital for inclusive innovation, ensuring that digital initiatives are collaboratively designed and reflect diverse user needs.",SDG 6; SDG 1; SDG 2; SDG 5; SDG 9; SDG 10; SDG 3; SDG 4; SDG 7; SDG 8; SDG 11; SDG 12; SDG 13; SDG 14; SDG 15; SDG 16; SDG 17,CGIAR,No Data,"Martins, Carolina IglÃ©sias","Opola, Felix; Jacobs-Mata, Inga; Garcia Andarcia, Mariangel; Nortje, Karen; Joshi, Deepa; Singaraju, N.; Muller, A.; Christen, R.; Malhotra, A.",IWMI
WaterCopilot: a water management AI virtual assistant for the Limpopo River Basin Digital Twin - technical guide,2024,"Vickneswaran, Keerththanan; Retief, H.; Padilha, R.; Dickens, Chris; Silva, Paulo; Garcia Andarcia, Mariangel",Botswana; Mozambique; South Africa; Zimbabwe,Report,https://hdl.handle.net/10568/170224,"The present document provides a comprehensive overview of the development, architecture, and capabilities of the Limpopo Digital Twin Chatbot or Copilot (WaterCopilot). WaterCopilot is an AI-driven virtual assistant designed to enhance data accessibility and support decision-making for water management in the Limpopo River Basin (LRB). It has been developed through collaboration between the International Water Management Institute (IWMI) and Microsoft Research. WaterCopilot integrates advanced natural language processing with real-time data retrieval to address key challenges in water resource management, including fragmented information sources, manual data processing, and delays in response.
 
 The document outlines the project's objectives, system architecture, and modular plugin approach, which enables the Copilot to seamlessly connect with various datasets, including real-time environmental data, historical records, and policy documents related to water availability, rainfall patterns, and environmental flow. By leveraging Azure OpenAI services, WaterCopilot interprets user queries and retrieves relevant information. Key features of the Copilot include real-time monitoring of water availability, rainfall patterns, and environmental flow alerts, as well as userfriendly data visualizations and contextual insights.
 
 The deployment strategy utilizes Docker containers on AWS infrastructure, ensuring scalability, reliability, and efficient performance of the Copilot. This document also addresses the technical challenges encountered during development, the solutions implemented to create a robust and adaptable system, and outlines future work aimed at further enhancing WaterCopilot's capabilities. This detailed documentation serves as a technical guide to understanding WaterCopilot's capabilities, architecture, and future directions, emphasizing its role in supporting sustainable water management across the LRB.",M. Garcia Andarcia,iwmi-digitaltwins@cgiar.org,tackling complex environmental challenges,WaterCopilot,Machine Learning; Ai; Nlp; Llm; Genai; Llm,"empowering users with timely, accurate, and actionable information, supporting sustainable water management and informed decision-making",artificial intelligence; models; water management; natural resources management; environmental monitoring,This publication discusses the development of a digital twin for managing water resources in the Limpopo River Basin and outlines foundational hydrological modeling efforts utilizing the Soil and Water Assessment Tool Plus (SWAT+). It contributes to the CGIAR Initiative on Digital Innovation aimed at enhancing sustainable and inclusive agri-food systems through innovative digital solutions.,SDG 6,IWMI,No Data,"Vickneswaran, Keerththanan","Retief, H.; Padilha, R.; Dickens, Chris; Silva, Paulo; Garcia Andarcia, Mariangel",IWMI
Machine learning based groundwater prediction in a data-scarce basin of Ghana,2022,"Siabi, E. K.; Dile, Y. T.; Kabo-Bah, A. T.; Amo-Boateng, M.; Anornu, G. K.; Akpoti, Komlavi; Vuu, C.; Donkor, P.; Mensah, S. K.; Incoom, A. B. M.; Opoku, E. K.; Atta-Darkwa, T.",Ghana,Journal Article,https://hdl.handle.net/10568/125697,"Groundwater (GW) is a key source of drinking water and irrigation to combat growing food insecurity and for improved water access in rural sub-Saharan Africa. However, there are limited studies due to data scarcity in the region. New modeling techniques such as Machine learning (ML) are found robust and promising tools to assess GW recharge with less expensive data. The study utilized ML technique in GW recharge prediction for selected locations to assess sustainability of GW resources in Ghana. Two artificial neural networks (ANN) models namely Feedforward Neural Network with Multilayer Perceptron (FNN-MLP) and Extreme Learning Machine (FNN-ELM) were used for the prediction of GW using 58 years (1960â€“2018) of GW data. Model evaluation between FNN-MLP and FNN-ELM showed that the former approach was better in predicting GW with R2 ranging from 0.97 to 0.99 while the latter has an R2 between 0.42 to 0.68. The overall performance of both models was acceptable and suggests that ANN is a useful forecasting tool for GW assessment. The outcomes from this study will add value to the current methods of GW assessment and development, which is one of the pillars of the sustainable development goals (SDG 6).",No Data,No Data,No Data,No Data,Machine Learning; Ai; Nlp,No Data,groundwater recharge; forecasting; estimation; machine learning; neural networks; modelling; precipitation; evapotranspiration; surface runoff; climate change; rain; aquifers,No Data,SDG 6,No Data,No Data,"Siabi, E. K.","Dile, Y. T.; Kabo-Bah, A. T.; Amo-Boateng, M.; Anornu, G. K.; Akpoti, Komlavi; Vuu, C.; Donkor, P.; Mensah, S. K.; Incoom, A. B. M.; Opoku, E. K.; Atta-Darkwa, T.",IWMI
Management and agricultural water productivity improvement in India and the Ganges Basin,2025,"Sharma, Bharat; Sikka, Alok; Lautze, Jonathan; Mabhaudhi, T.",India,Book Chapter,https://hdl.handle.net/10568/174341,"The fast transition of India from a water-stressed to a water-scarce country has provided additional impetus for the search for interventions and decision support systems (DSSs) for solutions to problems arising from a mismatch between demand and supply and competing demands of economic and environmental sectors. Agriculture is the largest user of freshwater and increasing water productivity in agriculture is a national challenge requiring urgent attention. Globally, DSSs have gained immense popularity in various domains and, more recently, in agriculture and water resources management but are still limited in developing countries like India. This chapter presents a comprehensive compilation and stocktake of the DSSs developed at various scales in India and specific to the Ganges Basin, aimed at serving as a foundation for future work in this direction. After the criteria-based screening of the literature and reports, each selected DSS was analysed in the context of the aspects covered, key criteria, and the parameters such as relevance, applicability, focus, and scale of application. To reinforce the recommendations, KIIs were held with selected experts and stakeholders. A matrix approach was employed to compile and review the DSS with broader segregation under (i) crop and farm-based decision support systems, (ii) DSS based on artificial intelligence, enhanced machine learning, fuzzy multi-criteria decision making, and knowledge systems, (iii) DSS for real-time operation of micro-irrigation systems, (iv) DSS for management of tanks and reservoirs for water-deficit regions, and (v) DSS for improving water productivity under canal commands and conjunctive management of surface and groundwater resources. The selected DSSs were then analysed for focus, key findings, relevance, applicability, and scale of application of the DSS.",No Data,No Data,No Data,No Data,Machine Learning; Ai; Nlp,No Data,agricultural water management; water productivity; decision-support systems; irrigated farming; water-use efficiency; environmental health; stakeholders,No Data,SDG 6,No Data,No Data,"Sharma, Bharat","Sikka, Alok; Lautze, Jonathan; Mabhaudhi, T.",IWMI
Framework for advancing water resource sustainability and climate resilience through local-scale hydrological modeling in the Ganges Delta,2023,"Jampani, Mahesh; Sena, Dipaka Ranjan; Matheswaran, Karthikeyan",No Data,Brief,https://hdl.handle.net/10568/139016,"The Ganges Delta has large agricultural landscapes that provide food for millions of people. However, changes in climate and anthropogenic activities are causing water scarcity, floods and soil salinization, threatening food security and putting livelihoods at risk. To address these challenges, the CGIAR Initiative on Asian Mega-Deltas (AMD) is working to create more resilient, inclusive and productive deltas that can adapt to climate change and other stressors. The International Water Management Institute (IWMI) is undertaking local-scale hydrological modeling and developing Artificial Intelligence (AI)-powered salinity forecasting in the Ganges Delta Region to evaluate water and salinity dynamics.
 This innovation brief outlines the methodological framework that will be used to develop a salinity forecasting system for the polders in Bangladesh using machine learning techniques, surface water and groundwater flow, and contaminant transport modeling to understand water and salinity dynamics and balances in the respective polders. The overall aim is to generate polder-specific knowledge that can optimize water management, increase agricultural productivity and ensure the long-term sustainability of this crucial deltaic system.",M. Jampani,m.jampani@cgiar.org,Removing systemic barriers to the scaling of transformative technologies and practices,local-scale hydrological modeling,Machine Learning; Ai; Nlp; Machine Learning; Deep Learning,"Creates resilient, inclusive, and productive deltas that maintain socio-ecological integrity",No Data,This publication discusses a framework for enhancing water resource sustainability and climate resilience using local-scale hydrological modeling in the Ganges Delta. It emphasizes the need to overcome systemic barriers to the adoption of transformative technologies and practices to ensure the socio-ecological integrity and prosperity of delta communities.,SDG 6,IWMI,No Data,"Jampani, Mahesh","Sena, Dipaka Ranjan; Matheswaran, Karthikeyan",IWMI
Digital solutions for Africaâ€™s water management,2025,"Velpuri, Naga Manohar; Seid, Abdulkarim; Leh, Mansoor; Mekonnen, Kirubel; Haile, Alemseged T.; Garcia Andarcia, Mariangel; Owusu, Afua; Akpoti, Komlavi; Storr, Samuel; Greatrix, Emma; Wamba, Elizabeth",Burkina Faso; Ethiopia; Ghana; Zambia,Extension Material,https://hdl.handle.net/10568/176180,"Africaâ€™s water resources are under increasing pressure due to rising demand, climate variability, and declining quality. The Digital Innovations for a Water Secure Africa (DIWASA) initiative, led by IWMI with support from the Helmsley Charitable Trust and in collaboration with Digital Earth Africa, harnesses digital technologies to strengthen water management. By integrating Earth observation, artificial intelligence (AI), and advanced analytics with stakeholder engagement and capacity development, DIWASA provides tools and data to support evidence-based planning and decision-making. This publication showcases DIWASAâ€™s products, partnerships, and applications in countries including Burkina Faso, Ethiopia, Ghana, and Zambia.",Abdulkarim Seid,No Data,Faced with data scarcity that hinders informed decision-making,A high-resolution water accounting assessment for the Bontanga Irrigation Scheme,Machine Learning; Ai; Nlp,"Aims to reduce user conflicts, enhance productivity, and enable conflict-sensitive management practices",digital technology; water management; digital extension tools; digital innovation; water use,"The publication discusses initiatives aimed at improving water management in Africa, particularly through the collaboration between Ghana Irrigation Development Authority and DIWASA for high-resolution water accounting. It highlights the challenges posed by data scarcity and the development of tools to enhance efficiency, productivity, and conflict-sensitive practices. Also mentioned is the strategic partnership with DE Africa to improve access to Earth observation data for better decision-making in water resource management.",SDG 6; null,IWMI,No Data,"Velpuri, Naga Manohar","Seid, Abdulkarim; Leh, Mansoor; Mekonnen, Kirubel; Haile, Alemseged T.; Garcia Andarcia, Mariangel; Owusu, Afua; Akpoti, Komlavi; Storr, Samuel; Greatrix, Emma; Wamba, Elizabeth",IWMI
Building resilient urban water systems: emerging opportunities for solving long-lasting challenges,2025,"Nlend, B.; Reimuth, A.; Yang, L. E.; Jampani, Mahesh; Cristiano, E.; Dewals, B.; Boyer, E.; Cetinkaya, I. D.; DiÃ©mÃ©, L. P.; Dutta, R.; Feng, W.; Grossi, G.; Nasr, W. B.; Obaitor, O. S.; Olusola, A. O.; Panchanathan, A.; Rab, G.; Sharma, S.; Wang, C.; Warter, M. M.; Welty, C.; Tetzlaf, D.",No Data,Journal Article,https://hdl.handle.net/10568/176044,"In this perspective paper, we analyse the challenges and opportunities of hydrology in the urban context and propose solutions for innovation and sustainability by leveraging advancements across technology, society, and governance for resilient cities. Technological breakthroughs, such as smart sensors and artificial intelligence, can enhance the efficiency and resilience of real-time water monitoring and predictions. Public awareness and community engagement can foster behavioural change and empower residents to actively participate in urban water governance through initiatives like rainwater harvesting and participatory planning. Additionally, big data and remote sensing provide cities with the insights needed for adaptive, data-driven decision-making. Together, these developments represent a paradigm shift from reactive problem-solving to proactive, integrated solutions that prioritise equity, environmental health, and urban resilience. Finally, the paper highlights the differences in progress between the Global North and the Global South and proposes research priorities for the future of urban hydrology.",No Data,No Data,No Data,No Data,Machine Learning; Ai; Nlp; Machine Learning,No Data,water management; resilience; urban areas; sustainability; hydrology,No Data,SDG 6,No Data,No Data,"Nlend, B.","Reimuth, A.; Yang, L. E.; Jampani, Mahesh; Cristiano, E.; Dewals, B.; Boyer, E.; Cetinkaya, I. D.; DiÃ©mÃ©, L. P.; Dutta, R.; Feng, W.; Grossi, G.; Nasr, W. B.; Obaitor, O. S.; Olusola, A. O.; Panchanathan, A.; Rab, G.; Sharma, S.; Wang, C.; Warter, M. M.; Welty, C.; Tetzlaf, D.",IWMI
Digitally improving the identification of aquatic macroinvertebrates for indices used in biomonitoring,2023,"Koen, R. C. J.; Koen, F. J.; Pattinson, N. B.; Dickens, Chris W. S.; Graham, P. M.",No Data,Report,https://hdl.handle.net/10568/138246,"This report provides an overview of the mini Stream Assessment Scoring System (miniSASS) and South African Scoring System Version 5 (SASS5) as biomonitoring techniques for assessing the ecological condition of streams and rivers based on the identification of aquatic macroinvertebrates. While miniSASS relies on minimally trained citizen scientists to identify macroinvertebrates at the Order-level, SASS5 utilizes expertly accredited practitioners for finer resolution, even up to the family-level. However, the reliance on citizen scientists for miniSASS identification introduces limitations in terms of precision, accuracy, and reliability. To address these limitations, ongoing developments within the CGIAR Initiative on Digital Innovation include the creation of a miniSASS smartphone application, an upgraded website, an interactive online course, and a machine-learning identification algorithm to assist with photo identification. Additionally, a revised dichotomous key has been developed to improve operator identification during miniSASS surveys. Furthermore, the potential for upscaling the machine-learning identification algorithm to assist in identifying the 91 family-level taxa used in SASS5 assessments has been explored. The outcomes of these developments and explorations presented in this paper aim to enhance the overall effectiveness and reliability of both the miniSASS and SASS5 techniques. By leveraging digital innovation and incorporating machine-learning technology, we anticipate the efficiency, accuracy, and accessibility of biomonitoring assessments will significantly improve, ultimately contributing to a better understanding and management of our aquatic ecosystems.",N.B. Pattinson,rcj.koen@gmail.com,Artificial intelligence-based biomonitoring of water quality,ML to identify and classify aquatic macroinvertebrates for the purposes of in SASS5,Machine Learning; Ai; Nlp; Deep Learning,"Ensures that the key is easy to use, simple, and intuitive for the miniSASS operator to identify their specimens.",citizen science; data collection; community involvement; biomonitoring; macroinvertebrates; sustainable development; digital innovation; machine learning,"This technical report addresses the use of artificial intelligence in biomonitoring water quality. It discusses the development and application of macroinvertebrate-based multimetric indices for evaluating aquatic ecosystems, focusing on South Africa and broader implications for global water resource management. The report emphasizes the importance of community participation and citizen science in sustaining biodiversity and addressing water quality challenges.",SDG 6,IWMI,No Data,"Koen, R. C. J.","Koen, F. J.; Pattinson, N. B.; Dickens, Chris W. S.; Graham, P. M.",IWMI
